gene_name,log 2 FC,orginial p,adjusted p
TMEM272,-3.0438096827797394,4.295504619945076e-28,0.0
OSMR,3.4112071250135076,4.741200493010483e-28,0.0
NR0B1,-3.7789503957204937,5.3464564490299355e-28,0.0
PROS1,2.545934867256121,5.593595062698386e-28,0.0
BCAN,-1.1079212026089151,5.631090565565766e-28,0.0
S100A13,1.7100138341079667,6.87577076137142e-28,0.0
NRP1,4.268297223556843,7.712043089148786e-28,0.0
VWA1,-2.8385008340384648,7.815187982498605e-28,0.0
CALD1,2.0571110627960345,8.395887594984492e-28,0.0
SAPCD2,-3.3189391560915786,9.16645236107174e-28,0.0
TMUB1,2.11927367074233,9.740180488510086e-28,0.0
PANTR1,2.1457597880838044,1.1317039887526811e-27,0.0
PPP1R16B,-2.982148952923828,1.186760789676077e-27,0.0
SMIM30,1.8573807070709818,1.2275140330884475e-27,0.0
BBOX1,2.7959597747563762,1.446168191306699e-27,0.0
ELAVL4,-4.11882870265719,1.6135950036315227e-27,0.0
PLTP,1.4275405029797312,1.948855298261455e-27,0.0
ADM,5.628084622297162,2.2225836791494676e-27,0.0
SEMA5A,-2.523180518296874,2.2449661566481445e-27,0.0
RAC1,1.1590644333736329,2.2577851810829432e-27,0.0
F3,1.8547143376622197,2.288391620851134e-27,0.0
SPARC,2.342172666931944,2.4011571450243044e-27,0.0
STOX2,-2.152145581280003,2.868943415677128e-27,0.0
MDGA2,-3.3505054214278847,2.962471942714089e-27,0.0
NCALD,-2.480453960624068,2.9638838516732543e-27,0.0
TMEFF2,-4.547438875493684,3.658553769574087e-27,0.0
CNTN3,-2.6830101837638742,3.725596513410011e-27,0.0
ATP6V1G2,-3.406806147777306,4.0652458075828864e-27,0.0
AK2,1.7649344678069407,4.130711764849907e-27,0.0
TRMT112,1.9821028009678299,4.290006085287798e-27,0.0
CLU,1.2234551204096535,4.360961587446419e-27,0.0
SHISA4,-1.3643491969409247,5.041674582509982e-27,0.0
